,Question_id,Question_Reduced_Id,Gold_level
265,2981,2980,1
266,28742,28741,1
267,7780,7779,1
268,13400,13399,1
269,39633,39632,1
270,3111,3110,1
271,15823,15822,1
272,9322,9321,1
273,2367,2366,1
274,29107,29106,1
275,9393,9392,1
276,28676,28675,1
277,18696,18695,1
278,34984,34983,1
279,36439,36438,1
280,39933,39932,1
281,22057,22056,1
282,39681,39680,1
283,38643,38642,1
284,6547,6546,1
285,35879,35878,1
286,16622,16621,1
287,21487,21486,1
288,1533,1532,1
289,38306,38305,1
290,20217,20216,1
291,7971,7970,1
292,23696,23695,1
293,5921,5920,1
294,7964,7963,1
295,24267,24266,1
296,40558,40557,1
297,20159,20158,1
298,39180,39179,1
299,35367,35366,1
300,13064,13063,1
301,15912,15911,1
302,6782,6781,1
303,3098,3097,1
304,8286,8285,1
305,20772,20771,1
306,6336,6335,1
307,35855,35854,1
308,17786,17785,1
309,28542,28541,1
310,25683,25682,1
311,9203,9202,1
312,29726,29725,1
313,32515,32514,1
314,5085,5084,1
315,42444,42443,1
316,23291,23290,1
317,1264,1263,1
318,33582,33581,1
319,7296,7295,1
320,5068,5067,1
321,23236,23235,1
322,15495,15494,1
323,5186,5185,1
324,607,606,1
325,38305,38304,1
326,23897,23896,1
327,10932,10931,1
328,15612,15611,1
329,23117,23116,1
330,31472,31471,1
331,17186,17185,1
332,25455,25454,1
333,32760,32759,1
334,12370,12369,1
335,1216,1215,1
336,10269,10268,1
337,5329,5328,1
338,5082,5081,1
339,17685,17684,1
340,33173,33172,1
341,11851,11850,1
342,40430,40429,1
343,36976,36975,1
344,2670,2669,0
345,30530,30529,1
346,15971,15970,1
347,12792,12791,1
348,40380,40379,1
349,34490,34489,1
350,13438,13437,1
351,3082,3081,1
352,34543,34542,1
353,39727,39726,1
354,17461,17460,1
355,25014,25013,1
356,11424,11423,1
357,37105,37104,1
358,39,38,1
359,1597,1596,1
360,4592,4591,1
361,24305,24304,1
362,39199,39198,1
363,5590,5589,1
364,25873,25872,1
365,27328,27327,1
366,35937,35936,1
367,32373,32372,1
368,27969,27968,1
369,20513,20512,1
370,14418,14417,1
371,5222,5221,1
372,833,832,1
373,35832,35831,1
374,37235,37234,1
375,40458,40457,1
376,11410,11409,1
377,32695,32694,1
378,32707,32706,1
379,8836,8835,1
380,39794,39793,1
381,14986,14985,1
382,26023,26022,1
383,22907,22906,1
384,17508,17507,1
385,41515,41514,1
386,31587,31586,1
387,1271,1270,1
388,8291,8290,1
389,36962,36961,1
390,36036,36035,1
391,26890,26889,1
392,281,280,1
393,13606,13605,1
394,1204,1203,1
395,34718,34717,1
396,21647,21646,1
397,16165,16164,1
398,22674,22673,1
399,25978,25977,1
400,28862,28861,1
401,11840,11839,1
402,6777,6776,1
403,4003,4002,1
404,41934,41933,1
405,1645,1644,1
406,29328,29327,1
407,34647,34646,1
408,4271,4270,1
409,22241,22240,1
410,28414,28413,1
411,32532,32531,1
412,28999,28998,1
413,2016,2015,1
414,34345,34344,1
415,16709,16708,1
416,37892,37891,1
417,4823,4822,1
418,11499,11498,1
419,3497,3496,1
420,33794,33793,1
421,40682,40681,1
422,26684,26683,1
423,9309,9308,1
424,9149,9148,1
425,35489,35488,1
426,19673,19672,1
427,37717,37716,1
428,31365,31364,1
429,30961,30960,1
430,40145,40144,1
431,42314,42313,1
432,36951,36950,1
433,37770,37769,1
434,37745,37744,1
435,34234,34233,1
436,140,139,1
437,11170,11169,1
438,20054,20053,1
439,12128,12127,1
440,32457,32456,1
441,23938,23937,1
442,28887,28886,1
443,6493,6492,1
444,16102,16101,1
445,2841,2840,1
446,6847,6846,1
447,28424,28423,1
448,26549,26548,1
449,28255,28254,0
450,9103,9102,1
451,28548,28547,1
452,37560,37559,1
453,22758,22757,1
454,20342,20341,1
455,1210,1209,1
456,26312,26311,1
457,42446,42445,1
458,9426,9425,1
459,42302,42301,1
460,3554,3553,1
461,38663,38662,1
462,25402,25401,1
463,30656,30655,1
464,35912,35911,1
465,15676,15675,1
466,2834,2833,1
467,29477,29476,1
468,3416,3415,1
469,2969,2968,1
470,3331,3330,1
471,30075,30074,1
472,40356,40355,1
473,28445,28444,1
474,2449,2448,1
475,25187,25186,1
476,10169,10168,1
477,25445,25444,1
478,37169,37168,1
479,24355,24354,1
480,37079,37078,1
481,36863,36862,1
482,19297,19296,1
483,42505,42504,0
484,26143,26142,1
485,27587,27586,1
486,6226,6225,1
487,34737,34736,1
488,30737,30736,1
489,6559,6558,1
490,17304,17303,1
491,16385,16384,1
492,14953,14952,1
493,12538,12537,1
494,27383,27382,1
495,17614,17613,1
496,42304,42303,1
497,35856,35855,1
498,7989,7988,1
499,30495,30494,1
500,17908,17907,1
501,8890,8889,1
502,38561,38560,1
503,32207,32206,1
504,8404,8403,1
505,4640,4639,1
506,32468,32467,1
507,40325,40324,1
508,3448,3447,1
509,12010,12009,0
510,39480,39479,1
511,18747,18746,1
512,12539,12538,1
513,40721,40720,1
514,39817,39816,1
515,2809,2808,1
516,12757,12756,1
517,20832,20831,1
518,1929,1928,1
519,39861,39860,1
520,17217,17216,1
521,16571,16570,1
522,36040,36039,1
523,33996,33995,1
524,29094,29093,1
525,28789,28788,1
526,23800,23799,1
527,22541,22540,1
528,19457,19456,1
529,5767,5766,1
530,11062,11061,1
531,502,501,1
532,26722,26721,1
533,31793,31792,1
534,22985,22984,1
535,4746,4745,1
536,36532,36531,1
537,14672,14671,1
538,23212,23211,1
539,2360,2359,1
540,40570,40569,1
541,25124,25123,1
542,14726,14725,0
543,22530,22529,1
544,9152,9151,1
545,32055,32054,1
546,31275,31274,1
547,10516,10515,1
548,9787,9786,1
549,13362,13361,1
