,Question_id,Question_Reduced_Id,Gold_level
265,36659,36658,1
266,21345,21344,1
267,18001,18000,1
268,20916,20915,1
269,5847,5846,1
270,28858,28857,1
271,28607,28606,1
272,14404,14403,1
273,22188,22187,0
274,23444,23443,1
275,5598,5597,1
276,1183,1182,1
277,39438,39437,1
278,13381,13380,1
279,2981,2980,1
280,28742,28741,1
281,7780,7779,1
282,13400,13399,1
283,39633,39632,1
284,3111,3110,1
285,15823,15822,1
286,9322,9321,1
287,2367,2366,1
288,29107,29106,1
289,9393,9392,1
290,28676,28675,1
291,18696,18695,1
292,34984,34983,1
293,36439,36438,1
294,39933,39932,1
295,22057,22056,1
296,39681,39680,1
297,38643,38642,1
298,6547,6546,1
299,35879,35878,1
300,16622,16621,1
301,21487,21486,1
302,1533,1532,1
303,38306,38305,1
304,20217,20216,1
305,7971,7970,1
306,23696,23695,1
307,5921,5920,1
308,7964,7963,1
309,24267,24266,1
310,40558,40557,1
311,20159,20158,1
312,39180,39179,1
313,31671,31670,2
314,35367,35366,1
315,13064,13063,1
316,15912,15911,1
317,6782,6781,1
318,3098,3097,1
319,8286,8285,1
320,20772,20771,1
321,6336,6335,1
322,35855,35854,1
323,17786,17785,1
324,12982,12981,2
325,28542,28541,1
326,25683,25682,1
327,9203,9202,1
328,29726,29725,1
329,32515,32514,1
330,5085,5084,1
331,42444,42443,1
332,13746,13745,2
333,23291,23290,1
334,1264,1263,1
335,33582,33581,1
336,7296,7295,1
337,5068,5067,1
338,23236,23235,1
339,15495,15494,1
340,5186,5185,1
341,607,606,1
342,38305,38304,1
343,23897,23896,1
344,10932,10931,1
345,15612,15611,1
346,23117,23116,1
347,31472,31471,1
348,17186,17185,1
349,25455,25454,1
350,32760,32759,1
351,12370,12369,1
352,1216,1215,1
353,10269,10268,1
354,5329,5328,1
355,5082,5081,1
356,17685,17684,1
357,33173,33172,1
358,11851,11850,1
359,40430,40429,1
360,36976,36975,1
361,2670,2669,0
362,30530,30529,1
363,15971,15970,1
364,12792,12791,1
365,40380,40379,1
366,34490,34489,1
367,13438,13437,1
368,3082,3081,1
369,34543,34542,1
370,39727,39726,1
371,17461,17460,1
372,25014,25013,1
373,11424,11423,1
374,37105,37104,1
375,39,38,1
376,1597,1596,1
377,4592,4591,1
378,24305,24304,1
379,39199,39198,1
380,5590,5589,1
381,25873,25872,1
382,27328,27327,1
383,35937,35936,1
384,32373,32372,1
385,27969,27968,1
386,20513,20512,1
387,14418,14417,1
388,5222,5221,1
389,833,832,1
390,35832,35831,1
391,37235,37234,1
392,40458,40457,1
393,11410,11409,1
394,32695,32694,1
395,32707,32706,1
396,8836,8835,1
397,39794,39793,1
398,14986,14985,1
399,26023,26022,1
400,22907,22906,1
401,17508,17507,1
402,8789,8788,2
403,41515,41514,1
404,31587,31586,1
405,1271,1270,1
406,8291,8290,1
407,36962,36961,1
408,36036,36035,1
409,26890,26889,1
410,281,280,1
411,13606,13605,1
412,1204,1203,1
413,34718,34717,1
414,21647,21646,1
415,16165,16164,1
416,22674,22673,1
417,25978,25977,1
418,28862,28861,1
419,11840,11839,1
420,6777,6776,1
421,4003,4002,1
422,41934,41933,1
423,1645,1644,1
424,29328,29327,1
425,34647,34646,1
426,4271,4270,1
427,22241,22240,1
428,28414,28413,1
429,32532,32531,1
430,28999,28998,1
431,2016,2015,1
432,34345,34344,1
433,16709,16708,1
434,37892,37891,1
435,4823,4822,1
436,11499,11498,1
437,32932,32931,2
438,3497,3496,1
439,33794,33793,1
440,40682,40681,1
441,26684,26683,1
442,9309,9308,1
443,9149,9148,1
444,35489,35488,1
445,19673,19672,1
446,37717,37716,1
447,31365,31364,1
448,30961,30960,1
449,40145,40144,1
450,42314,42313,1
451,36951,36950,1
452,37770,37769,1
453,37745,37744,1
454,34234,34233,1
455,140,139,1
456,11170,11169,1
457,20054,20053,1
458,12128,12127,1
459,32457,32456,1
460,23938,23937,1
461,28887,28886,1
462,6493,6492,1
463,16102,16101,1
464,2841,2840,1
465,6847,6846,1
466,28424,28423,1
467,26549,26548,1
468,28255,28254,0
469,9103,9102,1
470,28548,28547,1
471,37560,37559,1
472,22758,22757,1
473,20342,20341,1
474,1210,1209,1
475,26312,26311,1
476,42446,42445,1
477,9426,9425,1
478,42302,42301,1
479,3554,3553,1
480,38663,38662,1
481,25402,25401,1
482,30656,30655,1
483,16464,16463,2
484,35912,35911,1
485,15676,15675,1
486,2834,2833,1
487,22301,22300,2
488,29477,29476,1
489,3416,3415,1
490,2969,2968,1
491,3331,3330,1
492,30075,30074,1
493,40356,40355,1
494,28445,28444,1
495,2449,2448,1
496,25187,25186,1
497,10169,10168,1
498,25445,25444,1
499,37169,37168,1
500,24355,24354,1
501,37079,37078,1
502,36863,36862,1
503,19297,19296,1
504,42505,42504,0
505,26143,26142,1
506,27587,27586,1
507,6226,6225,1
508,34737,34736,1
509,30737,30736,1
510,6559,6558,1
511,17304,17303,1
512,16385,16384,1
513,14953,14952,1
514,12538,12537,1
515,9593,9592,2
516,27383,27382,1
517,17614,17613,1
518,25012,25011,2
519,42304,42303,1
520,39846,39845,2
521,35856,35855,1
522,7989,7988,1
523,30495,30494,1
524,17908,17907,1
525,8890,8889,1
526,38561,38560,1
527,32207,32206,1
528,8404,8403,1
529,4640,4639,1
530,32468,32467,1
531,40325,40324,1
532,3448,3447,1
533,12010,12009,0
534,39480,39479,1
535,18747,18746,1
536,12539,12538,1
537,40721,40720,1
538,39817,39816,1
539,2809,2808,1
540,12757,12756,1
541,20832,20831,1
542,1929,1928,1
543,39861,39860,1
544,17217,17216,1
545,16571,16570,1
546,36040,36039,1
547,33996,33995,1
548,29094,29093,1
549,28789,28788,1
550,23800,23799,1
551,22541,22540,1
552,19457,19456,1
553,5767,5766,1
554,11062,11061,1
555,502,501,1
556,26722,26721,1
557,31793,31792,1
558,22985,22984,1
559,4746,4745,1
560,36532,36531,1
561,14672,14671,1
562,23212,23211,1
563,6675,6674,2
564,2360,2359,1
565,40570,40569,1
566,25124,25123,1
567,14726,14725,0
568,22530,22529,1
569,9152,9151,1
570,32055,32054,1
571,31275,31274,1
572,10516,10515,1
573,9787,9786,1
574,13362,13361,1
575,24301,24300,2
